,電影,票房,金額
0,一家之主,12800,2541037.0
1,燃燒女子的畫像,15900,3496758.0
2,墮落天使  4K數位修復版,11011,2682958.0
3,告白,506,113689.0
4,獵殺戰場,2092,426158.0
5,鹿王,2394,585568.0
6,該死的阿修羅,16499,3593208.0
7,再說一次我願意,23533,5471155.0
8,售命,16151,2871914.0
9,嵐 5x20演唱會電影～回憶全記錄～,15139,6088070.0
10,完美的敵人,1800,411529.0
11,素還真,86656,20593523.0
12,蜘蛛人：無家日,1966920,498199445.0
13,2gether電影版：只因我們天生一對,11797,2955315.0
14,金牌特務：金士曼起源,617656,155280362.0
15,瘋狂競賽片,1774,384841.0
16,柏格曼的島,1128,247258.0
17,非甜蜜生活,1040,218054.0
18,記憶,1443,333856.0
19,死間行動,8295,1896613.0
20,世界上最爛的人,25476,6137874.0
21,格瑞特真相,152,34007.0
22,奪冠,418,93903.0
23,《屁屁偵探: 舒芙蕾島的秘密》,26151,5946205.0
24,波米叔叔的前世今生,563,126806.0
25,反恐行動：獨立日,2038,442448.0
26,情聖西哈諾,1239,257982.0
27,娶我吧!,12421,2919784.0
28,尼羅河謀殺案,141023,35321361.0
29,我吃了那男孩一整年的早餐,306209,73260741.0
30,月球隕落,201634,51054382.0
31,時代革命,106863,26712888.0
32,逍遙上路,3416,771399.0
33,秘境探險,305648,75597009.0
34,少年,4071,909970.0
35,黑光行動,37102,8525520.0
36,蝙蝠俠,523678,137300364.0
37,劇場版 咒術迴戰 0,891442,231692330.0
38,丟包大作戰,2388,570019.0
39,燃燒的劍,3726,847596.0
40,我不是英雄,840,186016.0
41,遊走塵市間,1629,366365.0
42,壞蛋聯盟,72870,17339889.0
43,咒,717546,170740868.0
44,貝爾法斯特,4922,1122167.0
45,少年吔,138630,32417725.0
46,全面掃蕩,1514,318095.0
47,藥命回憶,213,49128.0
48,劫獄救援,1500,314994.0
49,重慶森林 4K數位修復版,10379,2792265.0
50,頭七,120091,27442996.0
51,何處是我朋友的家？,1492,315600.0
52,漂浪人生,4087,926034.0
53,失落謎城,94278,22993827.0
54,生生長流,1109,235893.0
55,魔比斯,191521,47873551.0
56,橄欖樹下的情人,1147,241843.0
57,音速小子 2,64102,15115063.0
58,媽的多重宇宙,238908,59009959.0
59,屠女養成記,410,90272.0
60,怪獸與鄧不利多的秘密,463975,121164581.0
61,海岬的迷途之家,665,151995.0
62,真愛超能力,947,201584.0
63,電影版 如果30歲還是處男，似乎就能成為魔法師,44275,10678055.0
64,決戰星期天,1659,376138.0
65,有時 Mama，有時 Mimi,1893,302620.0
66,超吉任務,32915,7730502.0
67,超跑斯特拉,2914,675842.0
68,親愛的童伴,1123,249923.0
69,越驚,7007,1662175.0
70,SEVENTEEN POWER OF LOVE : THE MOVIE,5961,3078150.0
71,記憶殺神,17478,4081479.0
72,鳶,906,196158.0
73,你好，李煥英,2359,549436.0
74,漁港的肉子,2127,501940.0
75,鯊顫,3149,737788.0
76,詭棋,2268,526990.0
77,阿哈：帶我走,881,204091.0
78,邊緣行者,1263,298324.0
79,奇異博士2：失控多重宇宙,762386,202549418.0
80,輪到你了 劇場版 ,2412,588183.0
81,猛鬼大學：第2學期,6171,1448960.0
82,空氣殺人,4528,1075237.0
83,死亡預報,2868,667926.0
84,勸世三姊妹：大銀幕特別版,126,40857.0
