,名稱,期待度
0,再會啦 白宮,78%
1,給阿媽的一封信,38%
2,安妮詩快跑,63%
3,犯罪都市2,95%
4,牛首村,96%
5,公共圖書館員,60%
6,孵魔,82%
7,秋天的童話,90%
8,淒厲人僧：卡到陰,80%
9,最後的生存者,75%
10,愛在暹邏：數位經典版,94%
11,鬼雙胞,98%
12,阿巴斯。風的滋味,50%
13,月影歸途,No Record
14,逃出封鎖線,No Record
15,第一人夫,No Record
16,輪到你了 劇場版,96%
17,漁港的肉子,67%
18,我不是英雄,100%
19,鹿王,80%
20,死亡預報,94%
21,鯊顫,50%
22,空氣殺人,98%
23,猛鬼大學：第2學期,75%
24,詭棋,97%
25,奪冠,67%
26,阿哈：帶我走,75%
27,柏格曼的島,0%
28,格瑞特真相,No Record
29,親愛的童伴,100%
30,一家之主,60%
31,你好，李煥英,84%
32,邊緣行者,92%
33,奇異博士2：失控多重宇宙,98%
34,售命,76%
35,記憶殺神,82%
36,燃燒的劍,98%
37,死間行動,100%
38,媽的多重宇宙,87%
39,超吉任務,98%
40,重慶森林,100%
41,屠女養成記,97%
42,怪獸與鄧不利多的秘密,96%
43,失落謎城,96%
44,那些得不到保護的人,89%
45,假面騎士劇場版-對決 超越新世代,70%
46,少年,72%
47,電影版 如果30歲還是處男，似乎就能成為魔法師,98%
48,音速小子2,83%
49,頭七,88%
50,劫命救護,81%
51,咒,97%
52,壞蛋聯盟,90%
53,獵殺戰場,89%
54,丟包大作戰,83%
55,全面掃蕩,86%
56,少年吔,78%
57,該死的阿修羅,74%
58,貝爾法斯特,75%
59,蝙蝠俠,94%
60,情聖西哈諾,38%
61,瘋狂競賽片,36%
62,時代革命,89%
63,黑光行動,94%
64,劇場版 咒術迴戰 0,96%
65,完美的敵人,94%
66,反恐行動：獨立日,94%
67,世界上最爛的人,77%
68,秘境探險,91%
69,尼羅河謀殺案,93%
70,娶我吧！,76%
71,素還真,92%
72,我吃了那男孩一整年的早餐,98%
73,天堂計劃,75%
74,蜘蛛人：無家日,96%
75,綠色牢籠,72%
76,淑女鳥,91%
77,錢不夠用2,78%
