,名稱,期待度
0,再會啦 白宮,78%
1,給阿媽的一封信,38%
2,安妮詩快跑,63%
3,犯罪都市2,95%
4,牛首村,96%
5,公共圖書館員,60%
6,孵魔,82%
7,秋天的童話,90%
8,淒厲人僧：卡到陰,80%
9,最後的生存者,75%
10,愛在暹邏：數位經典版,94%
11,鬼雙胞,98%
12,月影歸途,No Record
13,逃出封鎖線,No Record
14,第一人夫,No Record
15,輪到你了 劇場版,96%
16,漁港的肉子,67%
17,我不是英雄,100%
18,鹿王,80%
19,死亡預報,94%
20,鯊顫,50%
21,空氣殺人,98%
22,猛鬼大學：第2學期,75%
23,詭棋,97%
24,奪冠,67%
25,阿哈：帶我走,75%
26,柏格曼的島,0%
27,親愛的童伴,100%
28,一家之主,60%
29,你好，李煥英,84%
30,邊緣行者,92%
31,奇異博士2：失控多重宇宙,98%
32,售命,76%
33,記憶殺神,82%
34,燃燒的劍,98%
35,死間行動,100%
36,媽的多重宇宙,87%
37,超吉任務,98%
38,重慶森林,100%
39,怪獸與鄧不利多的秘密,96%
40,少年,72%
41,電影版 如果30歲還是處男，似乎就能成為魔法師,98%
42,頭七,88%
43,咒,97%
44,該死的阿修羅,74%
45,時代革命,89%
46,劇場版 咒術迴戰 0,96%
47,怪獸與葛林戴華德的罪行,98%
