,電影名稱,分類
0,電影版 99.9 不可能的翻案,"['劇情', '懸疑/驚悚']"
1,藍色是最溫暖的顏色,"['愛情', '劇情']"
2,教練,['紀錄片']
3,費爾的旅程,['紀錄片']
4,好好說再見,['劇情']
5,捍衛戰士：獨行俠,"['動作', '劇情']"
6,再會啦 白宮,['紀錄片']
7,給阿媽的一封信,['紀錄片']
8,安妮詩快跑,"['愛情', '劇情', '喜劇']"
9,犯罪都市2,"['動作', '犯罪']"
10,牛首村,"['恐怖', '懸疑/驚悚']"
11,孵魔,"['恐怖', '懸疑/驚悚']"
12,秋天的童話,"['愛情', '劇情']"
13,淒厲人僧：卡到陰,"['恐怖', '懸疑/驚悚', '喜劇']"
14,最後的生存者,"['科幻', '懸疑/驚悚']"
15,愛在暹邏：數位經典版,"['愛情', '劇情']"
16,鬼雙胞,"['恐怖', '懸疑/驚悚']"
17,阿巴斯。風的滋味,['影展']
18,逃出封鎖線,"['歷史/傳記', '劇情']"
19,第一人夫,['喜劇']
20,輪到你了 劇場版,['劇情']
21,漁港的肉子,['動畫']
22,我不是英雄,['劇情']
23,鹿王,"['動畫', '動作', '冒險']"
24,死亡預報,['懸疑/驚悚']
25,鯊顫,['懸疑/驚悚']
26,空氣殺人,"['劇情', '懸疑/驚悚']"
27,猛鬼大學：第2學期,['懸疑/驚悚']
28,詭棋,"['犯罪', '懸疑/驚悚']"
29,奪冠,['劇情']
30,阿哈：帶我走,"['音樂/歌舞', '歷史/傳記', '紀錄片']"
31,柏格曼的島,['劇情']
32,格瑞特真相,"['犯罪', '懸疑/驚悚']"
33,親愛的童伴,"['奇幻', '劇情']"
34,一家之主,['劇情']
35,你好，李煥英,"['奇幻', '劇情', '喜劇']"
36,奇異博士2：失控多重宇宙,"['動作', '奇幻', '劇情']"
37,售命,"['動作', '犯罪']"
38,記憶殺神,"['動作', '懸疑/驚悚']"
39,死間行動,"['戰爭', '劇情']"
40,媽的多重宇宙,"['動作', '冒險', '喜劇']"
41,急急復雞雞,"['劇情', '喜劇']"
42,超吉任務,"['動作', '喜劇']"
43,重慶森林,"['愛情', '劇情']"
44,怪獸與鄧不利多的秘密,"['冒險', '奇幻', '劇情']"
45,失落謎城,"['愛情', '動作', '喜劇']"
46,那些得不到保護的人,"['劇情', '懸疑/驚悚']"
47,少年,['劇情']
48,電影版 如果30歲還是處男，似乎就能成為魔法師,"['愛情', '劇情']"
49,魔比斯,"['動作', '劇情']"
50,音速小子2,"['動作', '冒險', '喜劇']"
51,頭七,"['恐怖', '懸疑/驚悚']"
52,劫命救護,"['動作', '劇情', '懸疑/驚悚']"
53,咒,"['恐怖', '懸疑/驚悚']"
54,壞蛋聯盟,"['動畫', '動作', '喜劇']"
55,獵殺戰場,"['動作', '科幻', '懸疑/驚悚']"
56,丟包大作戰,"['溫馨/家庭', '喜劇']"
57,全面掃蕩,['動作']
58,少年吔,['劇情']
59,該死的阿修羅,"['劇情', '犯罪']"
60,貝爾法斯特,"['歷史/傳記', '劇情']"
61,蝙蝠俠,"['動作', '犯罪']"
62,時代革命,['紀錄片']
63,黑光行動,"['動作', '犯罪']"
64,劇場版 咒術迴戰 0,"['動畫', '奇幻']"
65,反恐行動：獨立日,"['動作', '懸疑/驚悚']"
66,世界上最爛的人,['劇情']
67,秘境探險,['動作']
68,尼羅河謀殺案,"['劇情', '犯罪', '懸疑/驚悚']"
69,娶我吧！,"['愛情', '喜劇']"
70,王牌冤家,"['愛情', '科幻', '劇情']"
71,素還真,"['武俠', '動作', '冒險', '奇幻']"
72,我吃了那男孩一整年的早餐,"['愛情', '劇情']"
73,天堂計劃,['劇情']
